image,final_grade,confidence,delta_e,expert_review,rejection_reason,colour_ok,L_mean,a_mean,b_mean
JTV-emerald021-019ct-2.jpg,Emerald C+ (Commercial),0.92,4.328710556001651,False,,True,84.7298339430538,-3.546547124211509,0.0239734157913197
JTV-emerald030-180ct-1.jpg,Expert-Review – see report,0.5,10.158911435695668,True,,True,66.05123884085968,-1.7226474577458073,1.3434115688519292
JTV-emerald032-100ct-1.jpg,Emerald C+ (Commercial),0.92,4.535952581496721,False,,True,84.90000816141189,-3.3199427181506143,-0.019135157507035525
JTV-emerald020-461ct-3.jpg,Emerald C (Commercial),0.85,6.220531698160702,False,,True,75.75705759051137,-2.581509736088516,0.36980024688004176
JTV-emerald002-321ct-2.jpg,Emerald C (Commercial),0.85,7.988662066517268,False,,True,96.64218226847628,-1.1789528822449145,-0.09277305373002033
JTV-emerald024-373ct-3.jpg,Emerald C (Commercial),0.85,7.691943180271448,False,,True,95.87456314864305,-1.0794024849085344,0.30987692682714735
JTV-emerald009-437ct-3.jpg,Emerald C (Commercial),0.85,6.7190690416863355,False,,True,93.71400918107655,-1.4621011799429153,0.6598764915107873
JTV-emerald020-461ct-1.jpg,Zambian Commercial- (Commercial),0.75,9.080099835403654,False,,True,60.57404414783025,-5.1608866918056435,1.0521047875914828
JTV-emerald033-100ct-4.jpg,Expert-Review – see report,0.5,11.70761684801877,True,,True,68.18209690200916,0.6018739700991803,1.9304451025906304
JTV-emerald027-038ct-1.jpg,Emerald C+ (Commercial),0.92,4.948558856229676,False,,True,74.33541673482084,-5.058828898405554,0.3737293528425975
JTV-emerald035-1009ct-2.jpg,Emerald C+ (Commercial),0.92,4.637144914473577,False,,True,77.08212769035354,-4.511182705395268,0.029492272322626942
JTV-emerald030-180ct-4.jpg,Expert-Review – see report,0.5,12.888095460555931,True,,True,65.82587522405441,0.7397119005672598,1.8703775941073273
JTV-emerald036-771ct-1.jpg,Expert-Review – see report,0.5,10.472562922026722,True,,True,74.51504091175428,1.1199088831395425,1.749061655534907
JTV-emerald026-090ct-1.jpg,Emerald C (Commercial),0.85,7.357780129391472,False,,True,94.4975919463853,-1.2534054658336433,0.07031114044529917
JTV-emerald028-1223ct-2.jpg,Emerald C (Commercial),0.85,5.603647906763047,False,,True,75.32730799130256,-3.7546601172234086,0.12440895971549337
JTV-emerald005-104ct-3.jpg,Emerald C+ (Commercial),0.92,4.501359396141268,False,,True,83.29083175287116,-3.1900600620115664,0.27697310206640235
JTV-emerald013-501ct-3.jpg,Emerald C (Commercial),0.85,7.366754992922971,False,,True,95.10194129300397,-1.447204989236021,-0.026310003517486347
JTV-emerald006-322ct-2.jpg,Emerald C+ (Commercial),0.92,4.0694550246072865,False,,True,88.2275867550134,-4.468060094636619,-0.3893395258412322
JTV-emerald024-373ct-1.jpg,Emerald C (Commercial),0.85,6.216762645097305,False,,True,92.4716530356795,-2.102840679005358,0.07896056330705747
JTV-emerald001-188ct-2.jpg,Emerald C+ (Commercial),0.92,4.364149697560281,False,,True,83.43868574959207,-3.576258032354567,-0.011168665782121836
JTV-emerald027-038ct-3.jpg,Emerald C+ (Commercial),0.92,4.244567289561569,False,,True,80.5374895309118,-3.8928471196912446,0.2330464648694361
JTV-emerald007-157ct-1.jpg,Emerald C+ (Commercial),0.92,3.53282176901452,False,,True,76.60129380618311,-7.1569774037120775,-0.3662410788076691
JTV-emerald004-119ct-3.jpg,Emerald C+ (Commercial),0.92,4.660489225703868,False,,True,86.10737753783806,-3.356458083441593,-0.2275743146077942
JTV-emerald029-289ct-2.jpg,Emerald C (Commercial),0.85,7.177984352819106,False,,True,94.8177381984992,-1.3380482962858695,0.40765211205066937
JTV-emerald029-289ct-1.jpg,Emerald C (Commercial),0.85,5.48294496827306,False,,True,90.63455641869751,-2.2375885363327934,0.6704304563751886
JTV-emerald033-100ct-1.jpg,Expert-Review – see report,0.5,12.65160016967937,True,,True,66.41805584861949,0.8518733762192122,2.4867816768949393
JTV-emerald002-321ct-3.jpg,Emerald C (Commercial),0.85,7.584053331406622,False,,True,95.86297637978093,-1.4493658764357649,-0.11444745217825088
JTV-emerald035-1009ct-1.jpg,Zambian Commercial (Commercial),0.85,7.265545785001226,False,,True,66.22694403672773,-5.831906164651741,0.6973586054065759
JTV-emerald025-163ct-1.jpg,Emerald C (Commercial),0.85,7.516276849167944,False,,True,94.823694213182,-1.1254540187579516,0.11716592045960544
JTV-emerald018-191ct-1.jpg,Expert-Review – see report,0.5,11.790233556753943,True,,True,69.96257235759023,1.0145495741042858,1.5963321550172351
JTV-emerald021-019ct-3.jpg,Emerald C+ (Commercial),0.92,4.0713143095042135,False,,True,81.81294367705745,-3.9734275351228194,0.16045562259863694
JTV-emerald014-355ct-3.jpg,Emerald C (Commercial),0.85,7.455223284755789,False,,True,95.11254603009466,-1.3786608597513605,-0.07261723566549508
JTV-emerald023-038ct-1.jpg,Emerald C+ (Commercial),0.92,4.948558856229676,False,,True,74.33541673482084,-5.058828898405554,0.3737293528425975
